<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
22/06/21;000000;310.79;311.17;308.13;309.73;23511320
23/06/21;000000;310.4;312;308.69;309.79;24810790
24/06/21;000000;309.82;311.2;308.84;310;19708450
25/06/21;000000;310.41;312.5;309.82;311.81;22588790
28/06/21;000000;311.76;312.06;309.13;309.48;19409430
29/06/21;000000;308.7;309.23;303.66;306.1;33868700
30/06/21;000000;306.35;306.91;303.34;306.45;31492940
01/07/21;000000;306.19;307.35;305;305.78;19958090
02/07/21;000000;305.59;308.37;304.71;307.39;28893920
05/07/21;000000;307.81;308.11;304.8;307;16481560
06/07/21;000000;307.32;307.59;302.37;303.34;32667720
07/07/21;000000;303.56;306.2;302.85;304.06;22612920
08/07/21;000000;302.99;304.3;300.62;302.63;30696840
09/07/21;000000;302.71;304.1;301.22;303.56;20523480
12/07/21;000000;303.56;306.27;301.52;306.23;25280830
13/07/21;000000;306.85;307.22;302.11;303;21233230
14/07/21;000000;302.7;303.69;300.74;301.5;23920780
15/07/21;000000;301.19;303.5;299.77;301.72;21082200
16/07/21;000000;301.92;304.78;298.57;298.85;34532240
19/07/21;000000;298;298.36;290.03;291.46;41244150
20/07/21;000000;292.34;296.8;292.3;296.1;35564960
21/07/21;000000;296.01;296.94;293.54;294.86;17526680
